sample,n_matches,p_weighted_covered
ERR1090858,0,0.0
ERR1090875,1,16.7
ERR1090915,1,11.1
ERR1090977,0,0.0
ERR1091014,0,0.0
ERR1091035,1,60.0
ERR1091045,0,0.0
ERR1091328,2,14.3
ERR1091422,0,0.0
ERR1091448,0,0.0
ERR1091559,0,0.0
ERR1091565,0,0.0
ERR1091747,0,0.0
ERR1091752,1,100.0
ERR1091757,0,0.0
ERR1091761,0,0.0
ERR1092004,0,0.0
ERR1092106,0,0.0
ERR1092238,0,0.0
ERR1092264,0,0.0
ERR1092588,0,0.0
ERR1092599,0,0.0
ERR1092714,1,50.0
ERR1092925,0,0.0
ERR1092968,1,82.0
ERR1092973,1,95.2
ERR1093211,1,95.5
ERR1093232,0,0
ERR1093276,0,0.0
ERR1093402,0,0.0
ERR1093406,1,85.7
ERR1093481,0,0.0
ERR1093572,1,50.0
ERR1093574,0,0.0
ERR1093696,1,34.8
ERR1093701,0,0.0
ERR1093713,1,99.2
ERR1093719,1,33.3
ERR1093809,1,50.0
ERR1097489,1,0.2
ERR1101780,0,0.0
ERR1101815,1,40.0
ERR1101881,1,4.3
ERR1101954,0,0.0
ERR1109150,1,3.2
ERR1110259,2,10.4
ERR1110411,0,0.0
ERR1110432,2,16.7
ERR1110457,485,82.7
ERR1111383,213,90.7
ERR1121380,414,93.1
ERR1121385,716,90.0
ERR1121426,375,93.8
ERR1121450,4,30.1
ERR1135207,530,24.2
ERR1135268,689,72.7
ERR1135277,1326,52.9
ERR1135319,1104,25.0
ERR1135331,1425,40.5
ERR1135459,1041,29.0
ERR1135509,111,61.1
ERR1135517,80,69.1
ERR1135536,99,60.9
ERR1135557,50,29.6
ERR1135564,125,55.3
ERR1135602,121,51.0
ERR1135736,63,27.3
ERR1135754,50,24.8
ERR1136692,667,92.7
ERR1136721,1217,88.3
ERR1136732,1105,87.0
ERR1136848,1006,89.2
ERR1136894,927,89.0
ERR1137071,495,82.6
ERR1137088,794,82.5
ERR1137215,890,83.9
ERR1137227,1421,64.3
ERR1137245,616,66.2
ERR1137327,360,68.8
ERR1137403,952,75.6
ERR1137576,208,78.4
ERR1137584,1079,81.5
ERR1137585,492,85.7
ERR1137591,852,69.2
ERR1137737,677,88.8
ERR1137764,483,87.6
ERR1137780,465,68.2
ERR1137817,481,74.2
ERR1137926,691,78.6
ERR1137946,352,79.3
ERR1145231,0,0.0
ERR1157431,0,0.0
ERR1158952,1,3.7
ERR1159029,0,0.0
ERR1159054,0,0.0
ERR1159076,0,0.0
ERR1159103,0,0.0
ERR1159130,0,0.0
ERR1159166,1,25.0
ERR1159363,0,0.0
ERR1159481,0,0.0
ERR1159521,1,22.2
ERR1159526,0,0.0
ERR1159552,0,0
ERR1159627,0,0.0
ERR1159655,1,25.0
ERR1159681,0,0
ERR1159746,1,14.3
ERR1159780,0,0.0
ERR1159888,0,0
ERR1159890,1,20.0
ERR1159962,1,5.9
ERR1159984,0,0.0
ERR1160176,0,0.0
ERR1160203,0,0.0
ERR1160213,0,0
ERR1160385,0,0.0
ERR1160399,2,28.6
ERR1160468,1,66.7
ERR1160474,1,7.7
ERR1160517,1,72.0
ERR1160664,1,40.0
ERR1160799,1,45.5
ERR1163078,26,28.3
ERR1187699,2,9.0
ERR1188230,0,0.0
ERR1188366,0,0.0
ERR1188484,1,100.0
ERR1188574,0,0.0
ERR1188650,0,0.0
ERR1188858,2,100.0
ERR1188884,1,66.7
ERR1188941,0,0.0
ERR1188946,0,0.0
ERR1188991,1,4.3
ERR1189010,3,98.9
ERR1190543,818,91.8
ERR1190549,537,87.2
ERR1190611,481,95.4
ERR1190620,939,91.3
ERR1190741,729,87.5
ERR1190940,1116,89.4
ERR1190964,637,86.5
ERR1198919,1234,13.6
ERR1201304,1,91.1
ERR1205142,1,8.3
ERR1205149,1,3.1
ERR1205158,1,2.6
ERR1205211,1,3.0
ERR1218888,0,0.0
ERR1226909,89,60.4
ERR1233465,1,31.8
ERR1248525,0,0
ERR1248535,0,0
ERR1248553,0,0
ERR1248648,0,0
ERR1248696,1,100.0
ERR1248701,0,0
ERR1249703,0,0.0
ERR1249750,0,0.0
ERR1249789,1,46.7
ERR1249811,0,0.0
ERR1249915,0,0.0
ERR1249978,0,0.0
ERR1250158,0,0.0
ERR1250439,0,0.0
ERR1250634,1,16.7
ERR1254293,178,87.4
ERR1277757,0,0.0
ERR1277761,0,0.0
ERR1293106,130,90.2
ERR1293143,181,93.4
ERR1293255,184,90.0
ERR1293399,153,85.2
ERR1293438,254,79.6
ERR1293539,651,92.5
ERR1293631,547,89.4
ERR1293649,661,86.3
ERR1293682,747,76.7
ERR1293746,382,91.4
ERR1293802,881,86.5
ERR1293912,846,85.4
ERR1297587,216,91.2
ERR1297620,218,81.8
ERR1297624,189,81.8
ERR1297646,738,81.6
ERR1297654,990,84.7
ERR1297709,905,86.7
ERR1297729,804,82.0
ERR1297744,917,84.1
ERR1297840,754,85.3
ERR1299135,97,46.2
ERR1301094,7,19.9
ERR1301129,2,0.7
ERR1301132,256,54.1
ERR1301195,85,44.3
ERR1301234,82,32.7
ERR1301263,138,54.0
ERR1301285,150,58.1
ERR1301321,167,54.8
ERR1301324,20,7.8
ERR1301410,36,85.5
ERR1301561,107,10.5
ERR1301702,41,21.6
ERR1301754,7,7.2
ERR1301770,495,70.9
ERR1301825,52,58.8
ERR1301918,9,8.2
ERR1302024,123,48.3
ERR1302090,327,80.9
ERR1302118,153,42.3
ERR1302161,256,58.4
ERR1302459,214,40.8
ERR1302485,362,48.3
ERR1302504,301,57.7
ERR1302511,195,32.9
ERR1302519,310,28.2
ERR1302521,303,48.7
ERR1302578,222,24.6
ERR1302605,308,44.0
ERR1302670,219,37.2
ERR1302734,299,31.1
ERR1302786,207,42.8
ERR1302791,227,21.5
ERR1302853,256,32.5
ERR1302932,114,17.6
ERR1303039,17,0.7
ERR1303080,38,85.4
ERR1303100,52,8.4
ERR1303164,178,49.8
ERR1303214,19,21.9
ERR1303217,12,6.7
ERR1303222,24,6.5
ERR1303234,7,7.1
ERR1303281,120,7.1
ERR1306125,1,16.7
ERR1315842,0,0.0
ERR1315920,0,0.0
ERR1316009,0,0.0
ERR131959,0,0.0
ERR132001,0,0.0
ERR132063,0,0.0
ERR1320995,1,33.3
ERR132228,0,0.0
ERR132264,0,0.0
ERR132294,0,0
ERR132333,1,50.0
ERR1328122,810,48.5
ERR133217,0,0
ERR1332544,0,0.0
ERR1332547,0,0.0
ERR133475,0,0
ERR133499,0,0
ERR133595,0,0.0
ERR1336898,1,33.3
ERR1339248,0,0.0
ERR1339360,0,0.0
ERR1339375,0,0.0
ERR1339450,0,0.0
ERR1339518,0,0.0
ERR1339569,0,0.0
ERR1339841,0,0.0
ERR1339843,0,0.0
ERR1339906,0,0.0
ERR1339955,0,0.0
ERR1340079,0,0.0
ERR1340190,0,0.0
ERR1340254,0,0.0
ERR1340264,0,0.0
ERR1340470,0,0.0
ERR1340603,0,0.0
ERR1340606,0,0.0
ERR1340669,0,0.0
ERR1340718,0,0.0
ERR1341229,0,0.0
ERR1341877,88,1.3
ERR1342799,1,20.0
ERR1342856,0,0.0
ERR1342905,0,0.0
ERR1342908,0,0.0
ERR1346867,430,5.7
ERR1353140,787,13.5
ERR1353371,1,100.0
ERR1353482,1,100.0
ERR1358724,1018,2.9
ERR1361879,0,0
ERR1361882,1,50.0
ERR1361913,1,95.2
ERR1362157,1,50.0
ERR1362219,1,80.0
ERR1362222,1,100.0
ERR1362271,1,100.0
ERR1362287,1,100.0
ERR1362337,1,66.7
ERR1362362,1,66.7
ERR1362412,1,66.7
ERR1362440,1,66.7
ERR1362470,1,80.0
ERR1362529,1,20.0
ERR1362553,0,0
ERR1362586,0,0.0
ERR1362599,1,50.0
ERR1362614,0,0.0
ERR1362728,1,14.3
ERR1362970,0,0.0
ERR1362986,0,0.0
ERR1362990,1,25.0
ERR1363040,1,9.5
ERR1363111,0,0.0
ERR1363128,1,50.0
ERR1363142,0,0.0
ERR1363173,0,0.0
ERR1363211,0,0
ERR1366166,1,56.5
ERR1368202,2,89.4
ERR1368302,2,87.8
ERR1368306,1,79.4
ERR1368938,1,53.0
ERR1368949,1,70.0
ERR1369063,0,0.0
ERR1369077,0,0.0
ERR1369082,1,76.9
ERR1369086,0,0.0
ERR1369131,0,0.0
ERR1369146,1,50.0
ERR1369180,0,0.0
ERR1369280,0,0.0
ERR1369335,1,9.5
ERR1369383,0,0.0
ERR1369427,2,75.8
ERR1369500,1,100.0
ERR1369581,0,0.0
ERR1369766,0,0
ERR1369806,1,9.1
ERR1369830,1,33.3
ERR1369924,1,40.0
ERR1369944,1,25.0
ERR1370153,1,14.3
ERR1370190,0,0.0
ERR1370491,1,25.8
ERR1370529,0,0
ERR1377650,0,0.0
ERR1382324,1,26.6
ERR1382345,2,29.7
ERR1382376,1,21.4
ERR1382426,2,14.8
ERR1382428,1,10.3
ERR1382451,1,15.0
ERR1382470,1,2.8
ERR1382505,2,15.4
ERR1382589,1,25.0
ERR1382652,1,15.6
ERR1382760,1,18.3
ERR1382839,2,27.3
ERR1382879,1,5.3
ERR1382905,2,38.8
ERR1382915,1,25.0
ERR1382946,1,1.7
ERR1383017,2,26.8
ERR1383127,1,11.1
ERR1383178,1,34.0
ERR1383205,2,4.5
ERR1383215,1,41.9
ERR1383356,2,12.4
ERR1383421,2,46.4
ERR1383463,1,15.4
ERR1383716,1,37.0
ERR1383805,2,20.0
ERR1383858,1,1.1
ERR1383987,1,8.3
ERR1384046,1,18.2
ERR1384092,2,15.2
ERR1384143,1,11.1
ERR1384377,0,0.0
ERR1384394,1,56.0
ERR1384524,2,32.4
ERR1384529,1,9.7
ERR1384583,1,42.3
ERR1384672,1,20.5
ERR1384795,1,5.3
ERR1385074,2,10.5
ERR1385078,1,6.9
ERR1385177,1,43.9
ERR1385218,1,3.8
ERR1385320,2,38.1
ERR1385330,1,15.4
ERR1385346,2,33.3
ERR1385387,1,7.5
ERR1385467,2,26.8
ERR1385558,2,6.7
ERR1389688,0,0
ERR1389728,0,0.0
ERR1389756,0,0.0
ERR1389877,0,0.0
ERR1389969,0,0.0
ERR1394408,1,28.6
ERR1394437,1,60.0
ERR1394474,1,7.7
ERR1394563,1,12.5
ERR1398181,465,94.5
ERR1398187,446,94.6
ERR1403188,0,0.0
ERR1403206,1,50.0
ERR1403292,0,0.0
ERR1403299,0,0.0
ERR1403435,1,6.2
ERR1403483,1,83.3
ERR1403485,1,69.0
ERR1403512,1,77.8
ERR1403522,1,40.0
ERR1403544,0,0.0
ERR1403546,1,6.7
ERR1403614,0,0.0
ERR1403618,0,0.0
ERR1403731,1,48.4
ERR1403805,1,33.3
ERR1403820,1,16.7
ERR1403874,0,0.0
ERR1404029,1,7.7
ERR1404185,0,0.0
ERR1404248,2,47.2
ERR1404285,0,0.0
ERR1406492,1,35.7
ERR1406560,1,11.1
ERR1406604,1,35.7
ERR1406631,0,0.0
ERR1406640,1,22.2
ERR1406656,1,11.1
ERR1406720,2,53.6
ERR1406781,2,30.8
ERR1406811,2,50.0
ERR1406872,1,15.4
ERR1406932,0,0
ERR1406964,2,22.2
ERR1406987,0,0.0
ERR1407039,1,40.0
ERR1407064,2,37.5
ERR1407119,2,37.0
ERR1407198,1,22.2
ERR1414234,757,27.0
ERR1417417,0,0.0
ERR1417470,0,0.0
ERR1417578,0,0
ERR1417592,0,0.0
ERR1417656,1,37.5
ERR1418023,1,33.3
ERR1418062,2,33.3
ERR1424891,3,18.5
ERR1427821,45,59.1
ERR1427866,0,0
ERR1427891,0,0.0
ERR1428329,0,0.0
ERR1428377,1,20.0
ERR1428412,0,0.0
ERR1428518,0,0.0
ERR1428524,0,0.0
ERR1428567,0,0.0
ERR1428691,0,0.0
ERR1428926,0,0.0
ERR1428955,0,0.0
ERR1430399,759,83.1
ERR1430411,1029,84.1
ERR1430492,1073,80.3
ERR1430524,1187,80.7
ERR1430533,1048,79.7
ERR1447833,10,14.5
ERR1449139,4,0.3
ERR1457583,0,0
ERR1457662,0,0.0
ERR1457672,0,0.0
ERR1457693,1,100.0
ERR1457814,0,0.0
ERR1457830,2,88.9
ERR1457892,0,0.0
ERR1457981,0,0.0
ERR1458019,0,0.0
ERR1458022,1,50.0
ERR1458025,0,0.0
ERR1458075,0,0.0
ERR1458089,2,81.6
ERR1458097,2,55.6
ERR1458116,0,0.0
ERR1458156,0,0.0
ERR1458165,2,66.7
ERR1458230,0,0.0
ERR1458262,0,0.0
ERR1458263,0,0.0
ERR1458308,0,0
ERR1458553,0,0.0
ERR1458702,0,0.0
ERR1458714,0,0.0
ERR1458719,0,0.0
ERR1458795,1,33.3
ERR1458826,1,33.3
ERR1458904,0,0.0
ERR1458962,2,40.0
ERR1459156,0,0.0
ERR1459372,1,25.0
ERR1459377,0,0.0
ERR1459444,1,33.3
ERR1459454,0,0.0
ERR1459589,0,0.0
ERR1459622,0,0.0
ERR1459626,0,0.0
ERR1459903,3,83.3
ERR1460031,0,0.0
ERR1460046,0,0.0
ERR1460120,0,0
